freshTime,id,positive_prob,confidence,negative_prob,sentiment,id
2019/12/27,9044758.5,0.40031027,0.7722395,0.5996895,1.0,2
2019/12/28,9046005.0,0.93069,0.845978,0.06931,2.0,1
2019/12/30,9046714.0,0.37988,0.155823,0.62012,0.0,1
2019/12/31,9047944.125,0.07644908375,0.830112875,0.923551,0.0,8
2020/1/1,9048670.0,0.07789775,0.8268935,0.92210225,0.0,4
2020/1/10,9056152.0,0.00674172,0.985018,0.993258,0.0,1
2020/1/11,9056947.57142857,0.41695328571428575,0.30540713571428574,0.5830467142857143,0.8571428571428571,7
2020/1/12,9057897.0,0.661984,0.248854,0.338016,2.0,1
2020/1/13,9057959.0,0.09351780000000001,0.7921825,0.906482,0.0,2
2020/1/14,9059436.833333334,0.3953815133333333,0.52868635,0.6046185000000001,1.0,6
2020/1/15,9060208.6,0.609401,0.5212586800000001,0.39059908400000004,0.8,5
2020/1/16,9061244.5,0.6498005,0.44437500500000005,0.3501995,1.75,4
2020/1/17,9062128.0,0.233429,0.48127,0.766571,0.0,1
2020/1/18,9063336.5,0.563084,0.6303045,0.436916,1.0,2
2020/1/19,9064270.6,0.6215057,0.6150996200000001,0.37849428,1.3,10
2020/1/2,9049381.0,0.007643748,0.9830136666666668,0.9923566666666668,0.0,3
2020/1/20,9065347.9,0.7409563999999998,0.70719879,0.2590436405,1.55,20
2020/1/21,9066112.185185185,0.6609406538888888,0.6614436555555555,0.3390593366666667,1.4444444444444444,54
2020/1/22,9067222.257142857,0.6872252621523811,0.6327119485714288,0.31277473952380946,1.4761904761904763,105
2020/1/23,9068168.824,0.604410840664,0.6255724736000003,0.39558914775999976,1.304,125
2020/1/24,9068817.712,0.7218544129199996,0.7163288447999997,0.27814552639999995,1.512,125
2020/1/25,9069453.945121951,0.802887605371951,0.7233268060975606,0.197112403902439,1.7439024390243902,164
2020/1/26,9070152.478632478,0.7637072477222223,0.7164948102564107,0.23629275314102569,1.6196581196581197,234
2020/1/27,9070917.19642857,0.7354053254999998,0.7201068240357142,0.2645947022142858,1.5535714285714286,280
2020/1/28,9071760.706070287,0.7579340101373796,0.7338825684984025,0.24206597833546328,1.597444089456869,313
2020/1/29,9072586.718446601,0.7429878045307443,0.7253197037864074,0.25701221908737854,1.5922330097087378,309
2020/1/3,9050615.0,0.0906252,0.7986104999999999,0.909375,0.0,2
2020/1/30,9073455.136627907,0.749864764113372,0.7498203624418603,0.2501352220523256,1.558139534883721,344
2020/1/31,9074180.870712401,0.7379793998548809,0.7170012944591029,0.2620205986939317,1.5936675461741425,379
2020/1/6,9052230.666666666,0.3829686011666667,0.5978156666666666,0.6170313333333333,0.6666666666666666,6
2020/1/7,9053194.8,0.8116366000000002,0.6513314,0.18836335199999998,1.6,5
2020/1/9,9054798.666666666,0.35837523,0.7361396666666667,0.6416243333333334,0.6666666666666666,3
2020/12/3,9080086.0,0.784341,0.520758,0.215659,2.0,1
2020/2/1,9075170.609418282,0.7018429145983381,0.7112670212742388,0.2981570759141278,1.4653739612188366,361
2020/2/10,9085520.659863945,0.6947001032891152,0.724393315680272,0.30529989607483,1.4829931972789117,294
2020/2/11,9087057.307017544,0.6872366827076024,0.7268788323391817,0.3127632886578947,1.45906432748538,342
2020/2/12,9088514.099644128,0.6679607532064056,0.6959133172597863,0.3320392659715302,1.402135231316726,281
2020/2/13,9089832.208201893,0.7009407195268141,0.6844725273217671,0.299059273028391,1.5110410094637223,317
2020/2/14,9091203.844720498,0.7236294000807453,0.7119146288819879,0.2763705971645965,1.515527950310559,322
2020/2/15,9092284.290322581,0.6853958412718896,0.6942454679723501,0.3146041540230417,1.4101382488479262,217
2020/2/16,9093255.415966386,0.7010479076890758,0.6921533701260506,0.298952113432773,1.495798319327731,238
2020/2/17,9094372.373540856,0.6881575595719841,0.7120767274319071,0.3118424305719845,1.4357976653696498,257
2020/2/18,9095661.19851577,0.7142402884860853,0.7151411161410018,0.28575972877922046,1.5547309833024119,539
2020/2/19,9097004.936381709,0.7029507655387668,0.7402453936381705,0.2970492533518884,1.4831013916500995,503
2020/2/2,9076063.744479496,0.7254696146782331,0.7388224343848575,0.2745303768359623,1.5299684542586751,317
2020/2/20,9098097.843347639,0.7093657784120173,0.7182862748068666,0.29063422838197456,1.5064377682403434,466
2020/2/21,9099608.895635674,0.6710167848728654,0.7014092641366234,0.3289832261214421,1.3927893738140418,527
2020/2/22,9100754.593939394,0.750732365648485,0.7230415238181819,0.2492676399272728,1.606060606060606,330
2020/2/23,9101662.18128655,0.6909002605321635,0.7419254426900587,0.3090997058479533,1.4385964912280702,342
2020/2/24,9102665.84347826,0.7048633445739129,0.6883430582608703,0.29513666019130463,1.491304347826087,460
2020/2/25,9103970.161702128,0.6713947665999994,0.6653448704255318,0.3286052087957447,1.3957446808510638,470
2020/2/26,9105237.234042553,0.6447517507489361,0.6591195290212766,0.35524824100851055,1.327659574468085,470
2020/2/27,9106517.256637169,0.6562613439469033,0.6901315800000004,0.3437386771460178,1.3495575221238938,452
2020/2/28,9107694.800894855,0.6806164786398206,0.6845949677852354,0.319383509530201,1.4138702460850112,447
2020/2/29,9108875.3875,0.7021573711875001,0.7020066006875003,0.2978426565062501,1.5,320
2020/2/3,9077108.616393443,0.7115073753508201,0.7308474722950814,0.2884926341508197,1.4918032786885247,305
2020/2/4,9078457.043209877,0.7149615036141974,0.745051625339506,0.2850385038611112,1.5185185185185186,324
2020/2/5,9079800.043046357,0.6824476338443708,0.7151001353642386,0.3175523614006624,1.4536423841059603,302
2020/2/6,9081135.924731182,0.7410119395053766,0.7215692616129032,0.2589880481039427,1.5698924731182795,279
2020/2/7,9082386.02749141,0.7130597893161513,0.7161844619587631,0.28694020009278354,1.5395189003436427,291
2020/2/8,9083556.482926829,0.7540799258682926,0.753840999121951,0.24592004403902432,1.6,205
2020/2/9,9084476.677419355,0.7183138034792623,0.7162562854377885,0.2816861815898618,1.4838709677419355,217
2020/3/1,9109574.398843931,0.6995645770520234,0.6426844780346822,0.30043540442196537,1.4739884393063585,346
2020/3/12,9102320.5,0.8374295,0.638732,0.16257059,2.0,4
2020/3/16,9108685.0,0.659454,0.24323,0.340547,2.0,2
2020/3/2,9106419.0,0.8346188333333333,0.68564085,0.16538131333333336,1.6666666666666667,12
2020/3/24,9107093.0,0.48407,0.681397,0.51593,1.0,2
2020/3/3,9073755.0,0.328823,0.269283,0.671177,0.0,1
2020/3/5,9094068.0,0.26755650000000003,0.495092325,0.7324434999999999,0.5,4
2020/4/13,9067340.0,0.970052,0.933448,0.0299483,2.0,1
2020/4/7,9091456.0,0.997648,0.994772,0.00235242,2.0,1
2020/6/12,9087092.0,0.9355795,0.8568435,0.064420621,2.0,2
